time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-21T07:56:52.750Z,38.1313,-118.0553,0.2,1.6,ml,18,72.57,141,0.2,nn,nn00751209,2020-06-21T08:03:44.227Z,29 km S of Mina. Nevada,earthquake,,13.8,,,automatic,nn,nn
2020-06-21T07:53:31.170Z,33.58,-116.8053333,6.29,0.49,ml,24,38,0.03703,0.16,ci,ci39488416,2020-06-21T07:57:16.176Z,12km WNW of Anza. CA,earthquake,0.27,0.55,0.13,13,automatic,ci,ci
2020-06-21T07:44:14.270Z,38.1357,-118.1158,2.3,1.3,ml,14,119.61,58,0.18,nn,nn00751206,2020-06-21T07:58:03.686Z,28 km S of Mina. Nevada,earthquake,,2.1,,,automatic,nn,nn
2020-06-21T07:43:47.390Z,35813,-117.6366667,11.49,0.4,ml,6,133,0.03194,0.09,ci,ci39488400,2020-06-21T07:47:21.126Z,22km WNW of Searles Valley. CA,earthquake,0.46,0.87,46,4,automatic,ci,ci
2020-06-21T07:39:35.100Z,35.8111667,-117.6155,4.26,0.57,ml,8,79,0.01532,0.07,ci,ci39488392,2020-06-21T07:43:09.717Z,20km WNW of Searles Valley. CA,earthquake,0.26,0.31,0.09,6,automatic,ci,ci
2020-06-21T07:36:51.550Z,37.1463318,-121.5339966,6.84,1.72,md,26,60,0.06898,0.07,nc,nc73412931,2020-06-21T08:12:04.569Z,10km NE of San Martin. CA,earthquake,0.23,0.57,0.21,16,automatic,nc,nc
2020-06-21T07:34:47.161Z,63.2683,-150.7052,129.2,2.4,ml,,,,0.33,ak,ak0207y8cgoa,2020-06-21T07:41:53.489Z,59 km ESE of Denali National Park. Alaska,earthquake,,0.8,,,automatic,ak,ak
2020-06-21T07:31:23.760Z,36.0436668,-120.6111679,4.97,0.32,md,7,225,0.02787,0.01,nc,nc73412921,2020-06-21T07:48:02.441Z,23km NW of Parkfield. CA,earthquake,1.07,2.11,,1,automatic,nc,nc
2020-06-21T07:25:51.330Z,38.1537,-118033,0,1.4,ml,13,107.44,53,0.26,nn,nn00751203,2020-06-21T07:43:23.830Z,27 km SSE of Mina. Nevada,earthquake,,6,,,automatic,nn,nn
2020-06-21T07:23:19.500Z,38.1642,-117.8873,12,1.1,ml,15,137.76,14,0.19,nn,nn00751200,2020-06-21T07:27:02.608Z,31 km SE of Mina. Nevada,earthquake,,0.9,,,automatic,nn,nn
2020-06-21T07:20:09.550Z,33.2281667,-116735,11.48,0.16,ml,18,62,0.02138,0.19,ci,ci39488384,2020-06-21T07:23:50.985Z,3km ESE of Lake Henshaw. CA,earthquake,0.44,0.92,491,3,automatic,ci,ci
2020-06-21T07:10:57.580Z,38.1747,-117.7587,2.8,1.1,ml,16,123.25,53,0.11,nn,nn00751197,2020-06-21T07:24:03.857Z,38 km SE of Mina. Nevada,earthquake,,10.4,,,automatic,nn,nn
2020-06-21T07:07:16.597Z,66.5664,-149.2152,0.6,1.5,ml,,,,1.07,ak,ak0207y86ly5,2020-06-21T07:11:45.266Z,62 km N of Stevens Village. Alaska,earthquake,,0.3,,,automatic,ak,ak
2020-06-21T07:05:48.390Z,66.5594,-148.9912,0,1.4,ml,,,,0.49,ak,ak0207y868y4,2020-06-21T07:08:23.429Z,61 km N of Stevens Village. Alaska,earthquake,,0.3,,,automatic,ak,ak
2020-06-21T07:01:16.610Z,35.7483333,-117.5888333,3.39,1.63,ml,23,71,0.06763,0.19,ci,ci39488376,2020-06-21T07:05:05.883Z,16km NNE of Ridgecrest. CA,earthquake,0.36,1.02,131,25,automatic,ci,ci
2020-06-21T06:57:39.850Z,35.9038333,-117692,4.75,0.51,ml,9,83,0.05545,0.05,ci,ci39488368,2020-06-21T07:01:10.861Z,20km E of Little Lake. CA,earthquake,0.16,0.44,188,6,automatic,ci,ci
2020-06-21T06:56:49.560Z,38.1727,-117789,5.6,1,ml,11,87.78,64,0.08,nn,nn00751194,2020-06-21T07:02:42.165Z,36 km SE of Mina. Nevada,earthquake,,1.2,,,automatic,nn,nn
2020-06-21T06:56:35.320Z,33.4723333,-116.4658333,14.43,0.6,ml,25,67,0.1009,0.2,ci,ci39488360,2020-06-21T07:00:22.865Z,21km ESE of Anza. CA,earthquake,0.34,0.68,159,17,automatic,ci,ci
2020-06-21T06:56:05.550Z,38.2652,-118.0357,8.5,1,ml,10,156.38,187,0.08,nn,nn00751192,2020-06-21T06:59:21.553Z,15 km SSE of Mina. Nevada,earthquake,,8.2,,,automatic,nn,nn
2020-06-21T06:42:56.310Z,33.6713333,-117.5238333,11.71,1.25,ml,33,48,0.07147,0.21,ci,ci39488352,2020-06-21T06:46:45.762Z,6km ENE of Trabuco Canyon. CA,earthquake,0.31,0.62,0.19,30,automatic,ci,ci
2020-06-21T06:41:54.450Z,36.36474228,-97.37059784,3.749577761,1.5,ml,31,56.40326309,0.1513646096,0.3053872295,ok,ok2020mctu,2020-06-21T06:45:28.996Z,11 km NW of Perry. Oklahoma,earthquake,2.134938824,1.826733564,,25,automatic,ok,ok
2020-06-21T06:39:28.980Z,17.9161,-66.8436,12,2.6,md,23,213,0.0689,0.19,pr,pr2020173003,2020-06-21T07:04:37.220Z,8 km SE of Maria Antonia. Puerto Rico,earthquake,0.7,0.52,0.2,20,reviewed,pr,pr
2020-06-21T06:29:26.270Z,35.86,-117683,2.43,0.56,ml,11,81,0.08232,0.17,ci,ci39488336,2020-06-21T06:33:12.385Z,22km ESE of Little Lake. CA,earthquake,0.29,0.58,77,6,automatic,ci,ci
2020-06-21T06:27:44.040Z,37.3843346,-122.2676697,9.79,1.77,md,16,112,0.03013,0.05,nc,nc73412906,2020-06-21T08:59:02.849Z,3km W of Portola Valley. CA,earthquake,0.29,0.52,0.11,12,automatic,nc,nc
2020-06-21T06:26:14.030Z,38.1533,-117.9463,12.9,1.8,ml,16,100.99,28,0.15,nn,nn00751187,2020-06-21T06:46:26.072Z,29 km SSE of Mina. Nevada,earthquake,,0.6,,,automatic,nn,nn
2020-06-21T06:22:39.650Z,38.1773,-117.7927,6,1.7,ml,26,52.16,58,0.12,nn,nn00751182,2020-06-21T06:26:24.845Z,36 km SE of Mina. Nevada,earthquake,,0.6,,,automatic,nn,nn
2020-06-21T06:13:48.179Z,-16.8997,176.7267,10,4.5,mb,,111,1.52,0.99,us,us6000afsl,2020-06-21T06:40:23.040Z,110 km NW of Lautoka. Fiji,earthquake,7.8,1.9,145,14,reviewed,us,us
2020-06-21T06:13:40.140Z,37.6183319,-118.8671646,5.79,1.46,md,17,128,0.003409,0.07,nc,nc73412886,2020-06-21T08:34:02.695Z,10km ESE of Mammoth Lakes. CA,earthquake,0.54,0.78,0.21,17,automatic,nc,nc
2020-06-21T06:13:39.000Z,33.5698333,-116.6808333,10.18,0.21,ml,11,118,0.04209,0.21,ci,ci39488328,2020-06-21T06:17:22.560Z,2km NNW of Anza. CA,earthquake,0.73,1.03,169,4,automatic,ci,ci
2020-06-21T06:12:08.600Z,37.6259995,-118.8700027,5.53,1.27,md,11,109,0.008959,0.02,nc,nc73412876,2020-06-21T07:43:02.415Z,10km E of Mammoth Lakes. CA,earthquake,1.97,1.35,0.2,11,automatic,nc,nc
2020-06-21T06:11:50.100Z,37.6211662,-118.8659973,5.78,0.91,md,10,122,0.003249,0.01,nc,nc73412871,2020-06-21T07:18:02.256Z,10km E of Mammoth Lakes. CA,earthquake,0.55,1.5,0.11,10,automatic,nc,nc
2020-06-21T06:10:20.470Z,19.378833770752,-155.311004638672,0.699999988079071,2.3,ml,17,146,,0.159999996,hv,hv72009041,2020-06-21T06:15:52.380Z,10 km SW of Volcano. Hawaii,earthquake,0.48,0.860000014,0.36,19,automatic,hv,hv
2020-06-21T06:10:11.380Z,19.4316673278809,-155.613998413086,-1.51999998092651,2.87,ml,49,75,,0.270000011,hv,hv72009036,2020-06-21T07:00:52.040Z,26 km E of Honaunau-Napoopoo. Hawaii,earthquake,0.33,0.449999988,2.29,31,automatic,hv,hv
2020-06-21T06:09:22.190Z,37.1195,-115321,6.3,1.5,ml,17,76.16,537,0.23,nn,nn00751178,2020-06-21T06:22:03.831Z,30 km SSW of Alamo. Nevada,earthquake,,20.5,,,automatic,nn,nn
2020-06-21T06:07:12.435Z,59.4012,-153.5889,106.6,1.5,ml,,,,0.36,ak,ak0207y7l62c,2020-06-21T06:13:01.261Z,51 km SE of Pedro Bay. Alaska,earthquake,,0.6,,,automatic,ak,ak
2020-06-21T06:07:04.560Z,38145,-117.9908,7.8,0.9,ml,11,108.75,18,0.02,nn,nn00751177,2020-06-21T06:10:41.862Z,29 km SSE of Mina. Nevada,earthquake,,2.3,,,automatic,nn,nn
2020-06-21T06:06:22.020Z,37.5801659,-118.8513336,2.22,1,md,11,224,0.02021,0.02,nc,nc73412866,2020-06-21T06:53:02.099Z,13km ESE of Mammoth Lakes. CA,earthquake,0.83,1.14,0.11,11,automatic,nc,nc
2020-06-21T06:01:58.080Z,36.7305,-115921,5.8,0.6,ml,11,264.19,56,0.1,nn,nn00751174,2020-06-21T06:09:02.596Z,28 km NW of Indian Springs. Nevada,earthquake,,0.7,,,automatic,nn,nn
2020-06-21T05:58:28.570Z,34312,-116.4501667,7.52,1.18,ml,15,101,0.05959,0.21,ci,ci39488320,2020-06-21T06:02:21.485Z,22km N of Yucca Valley. CA,earthquake,0.38,0.93,124,23,automatic,ci,ci
2020-06-21T05:58:22.860Z,38.1453,-117.9743,2.5,1.1,ml,15,106.18,14,0.21,nn,nn00751171,2020-06-21T06:02:43.305Z,29 km SSE of Mina. Nevada,earthquake,,1,,,automatic,nn,nn
2020-06-21T05:56:20.990Z,38.1683,-117.8948,8.5,1.3,ml,17,111.13,33,0.17,nn,nn00751168,2020-06-21T06:00:03.732Z,30 km SE of Mina. Nevada,earthquake,,0.9,,,automatic,nn,nn
2020-06-21T05:55:12.480Z,38.1628,-117.8437,10.6,1,ml,16,98.09,47,0.17,nn,nn00751165,2020-06-21T05:58:22.976Z,34 km SE of Mina. Nevada,earthquake,,1,,,automatic,nn,nn
2020-06-21T05:52:12.790Z,35.5923333,-117.3975,0.2,2.32,ml,30,72,0.07241,0.14,ci,ci39488312,2020-06-21T06:02:53.940Z,19km S of Trona. CA,earthquake,0.22,0.78,0.16,25,automatic,ci,ci
2020-06-21T05:48:22.310Z,38.2035,-117.7827,11,0.9,ml,15,100.5,0.04,0.11,nn,nn00751157,2020-06-21T05:53:22.673Z,35 km SE of Mina. Nevada,earthquake,,1.7,,,automatic,nn,nn
2020-06-21T05:46:49.780Z,38.1973,-117.7778,5.8,1.1,ml,12,80.98,64,0.22,nn,nn00751155,2020-06-21T05:50:10.280Z,36 km SE of Mina. Nevada,earthquake,,6.7,,,automatic,nn,nn
2020-06-21T05:40:32.820Z,38.1707,-117.8852,6.2,1,ml,14,112.28,16,0.09,nn,nn00751150,2020-06-21T05:46:22.474Z,31 km SE of Mina. Nevada,earthquake,,0.5,,,automatic,nn,nn
2020-06-21T05:38:42.380Z,38.1802,-117.7875,5.3,1.1,ml,13,90.14,63,0.06,nn,nn00751148,2020-06-21T05:42:02.364Z,36 km SE of Mina. Nevada,earthquake,,1.2,,,automatic,nn,nn
2020-06-21T05:36:58.950Z,33.8708333,-116.1231667,7.09,0.73,ml,14,94,0.06865,0.21,ci,ci39488304,2020-06-21T05:40:41.358Z,19km NNE of Indio. CA,earthquake,0.45,0.97,151,12,automatic,ci,ci
2020-06-21T05:35:16.200Z,38.1162,-117.7582,41.3,1.2,ml,12,137.76,48,0.07,nn,nn00751146,2020-06-21T05:40:22.154Z,41 km NNW of Silver Peak. Nevada,earthquake,,4.4,,,automatic,nn,nn
2020-06-21T05:14:56.792Z,59.8325,-152.9942,101.3,1.4,ml,,,,0.19,ak,ak0207y71bvn,2020-06-21T05:19:58.976Z,62 km E of Pedro Bay. Alaska,earthquake,,0.6,,,automatic,ak,ak
2020-06-21T05:10:31.790Z,33484,-116.7855,7.12,0.36,ml,15,66,0.09062,0.15,ci,ci39488296,2020-06-21T05:14:15.167Z,9km ENE of Aguanga. CA,earthquake,0.32,0.95,74,10,automatic,ci,ci
2020-06-21T05:10:10.300Z,36.0628333,-117.8585,3.65,1.15,ml,12,139,0.05471,0.16,ci,ci39488288,2020-06-21T05:13:56.451Z,8km ENE of Coso Junction. CA,earthquake,0.37,0.87,204,18,automatic,ci,ci
2020-06-21T05:04:17.000Z,36.472332,-121.0513306,5.37,2,md,19,94,0.01784,0.13,nc,nc73412851,2020-06-21T06:13:01.872Z,10km SE of Pinnacles. CA,earthquake,0.4,0.67,0.2,15,automatic,nc,nc
2020-06-21T05:00:47.610Z,33.5858333,-116.7925,9.23,0.25,ml,18,64,0.02497,0.23,ci,ci39488280,2020-06-21T05:04:31.104Z,12km WNW of Anza. CA,earthquake,0.66,0.83,141,6,automatic,ci,ci
2020-06-21T04:57:33.490Z,33.5135,-116.4888333,11.58,0.84,ml,42,61,0.05627,0.25,ci,ci39488272,2020-06-21T05:01:20.798Z,18km ESE of Anza. CA,earthquake,0.31,0.64,145,24,automatic,ci,ci
2020-06-21T04:55:21.466Z,34.0221,137.9852,306.23,4.4,mb,,69,674,0.73,us,us6000afry,2020-06-21T05:11:44.040Z,67 km SSW of ?yama. Japan,earthquake,8.9,7,35,231,reviewed,us,us
2020-06-21T04:47:57.300Z,38.1428,-117.9805,7.8,0.9,ml,15,107.71,14,0.08,nn,nn00751138,2020-06-21T04:54:42.331Z,29 km SSE of Mina. Nevada,earthquake,,0.9,,,automatic,nn,nn
2020-06-21T04:44:52.170Z,38.1623,-117.8355,9.1,1.9,ml,18,67.95,34,0.09,nn,nn00751133,2020-06-21T04:48:43.573Z,34 km SE of Mina. Nevada,earthquake,,0.5,,,automatic,nn,nn
2020-06-21T04:44:23.310Z,40.3995018,-124.7716675,19.63,2.62,md,22,270,,0.15,nc,nc73412846,2020-06-21T05:57:03.761Z,42km WNW of Petrolia. CA,earthquake,2.68,0.91,0.06,5,automatic,nc,nc
2020-06-21T04:41:37.260Z,35854,-117.6546667,6.8,0.88,ml,9,127,0.06012,0.15,ci,ci39488264,2020-06-21T04:45:21.964Z,24km ESE of Little Lake. CA,earthquake,0.65,1.27,135,11,automatic,ci,ci
2020-06-21T04:14:27.510Z,17.9041,-66.7596,5,2.57,md,22,214,0.1391,0.24,pr,pr2020173002,2020-06-21T04:39:46.462Z,11 km SSW of Tallaboa. Puerto Rico,earthquake,0.63,0.38,0.09,11,reviewed,pr,pr
2020-06-21T04:13:39.480Z,38.1798,-117.9322,5.8,1.1,ml,13,79.6,44,0.11,nn,nn00751131,2020-06-21T04:26:22.018Z,28 km SSE of Mina. Nevada,earthquake,,0.9,,,automatic,nn,nn
2020-06-21T04:06:06.211Z,60.9579,-147.3376,4.3,1.6,ml,,,,0.66,ak,ak0207y6e2mh,2020-06-21T04:10:53.211Z,37 km WNW of Tatitlek. Alaska,earthquake,,0.3,,,automatic,ak,ak
2020-06-21T04:03:26.540Z,38.1632,-117.9598,0.5,1.6,ml,19,97.85,31,0.14,nn,nn00751127,2020-06-21T04:15:03.407Z,28 km SSE of Mina. Nevada,earthquake,,0.8,,,automatic,nn,nn
2020-06-21T04:02:36.190Z,33.1961667,-115.6126667,2.54,1.46,ml,18,84,0.01543,0.21,ci,ci39488240,2020-06-21T04:06:24.710Z,10km WSW of Niland. CA,earthquake,0.4,0.29,222,28,automatic,ci,ci
2020-06-21T04:00:05.973Z,36.36790085,-97.37034607,2.539465666,1.57,ml,33,65.39983749,0.1534117162,0.5033371279,ok,ok2020mcol,2020-06-21T04:54:20.340Z,11 km NW of Perry. Oklahoma,earthquake,2.078581887,1.624411776,,25,automatic,ok,ok
2020-06-21T03:55:42.200Z,38133,-118039,6.6,1.3,ml,19,168.78,63,0.08,nn,nn00751124,2020-06-21T04:04:42.980Z,29 km SSE of Mina. Nevada,earthquake,,0.5,,,automatic,nn,nn
2020-06-21T03:53:50.450Z,38128,-117.9252,11.8,0.8,ml,10,100.23,28,0.08,nn,nn00751123,2020-06-21T03:57:21.691Z,33 km SSE of Mina. Nevada,earthquake,,6,,,automatic,nn,nn
2020-06-21T03:48:09.110Z,66.2646,-157.2183,0,1.3,ml,,,,0.51,ak,ak0207y61nb4,2020-06-21T03:53:28.328Z,69 km S of Shungnak. Alaska,earthquake,,0.6,,,automatic,ak,ak
2020-06-21T03:45:19.470Z,19.2231674194336,-155.394332885742,31.8299999237061,1.85000002,md,44,149,,0.119999997,hv,hv72008891,2020-06-21T03:48:32.500Z,9 km ENE of P?hala. Hawaii,earthquake,0.59,0.970000029,0.560000002,9,automatic,hv,hv
2020-06-21T03:43:16.460Z,38146,-117.9733,7.2,1.3,ml,12,102.3,16,0.07,nn,nn00751121,2020-06-21T03:55:22.379Z,29 km SSE of Mina. Nevada,earthquake,,0.7,,,automatic,nn,nn
2020-06-21T03:40:18.410Z,33.5816667,-116735,12.1,0.75,ml,34,37,0.01634,0.17,ci,ci39488232,2020-06-21T03:44:04.568Z,6km WNW of Anza. CA,earthquake,0.26,0.48,138,24,automatic,ci,ci
2020-06-21T03:37:19.390Z,38.1495,-117.9568,14.5,2.5,ml,24,72.8,22,0.12,nn,nn00751117,2020-06-21T04:04:16.040Z,29 km SSE of Mina. Nevada,earthquake,,0.5,,,automatic,nn,nn
2020-06-21T03:31:44.560Z,38.1512,-118.0468,1.7,1.2,ml,12,154.72,141,0.1,nn,nn00751115,2020-06-21T03:38:01.875Z,27 km SSE of Mina. Nevada,earthquake,,8.5,,,automatic,nn,nn
2020-06-21T03:30:56.780Z,33.2731667,-116.0111667,1.07,0.81,ml,18,75,0.2222,0.27,ci,ci39488224,2020-06-21T03:34:55.496Z,6km WSW of Salton City. CA,earthquake,0.97,31.61,73,12,automatic,ci,ci
2020-06-21T03:29:39.910Z,38.1408,-118.0173,2,1.4,ml,14,136.11,0.03,0.08,nn,nn00751112,2020-06-21T03:33:23.172Z,28 km SSE of Mina. Nevada,earthquake,,7.7,,,automatic,nn,nn
2020-06-21T03:27:35.050Z,44.3557,-115.1958,10,2.6,ml,,57,298,0.65,us,us6000afr4,2020-06-21T03:58:58.040Z,25 km NW of Stanley. Idaho,earthquake,2,2,55,44,reviewed,us,us
2020-06-21T03:20:13.930Z,38.1873,-117827,8.5,1.6,ml,18,70.01,54,0.15,nn,nn00751109,2020-06-21T03:30:43.127Z,33 km SE of Mina. Nevada,earthquake,,1.1,,,automatic,nn,nn
2020-06-21T03:15:41.689Z,36.35883333,-97.35883333,7.78,4.2,mwr,97,35,0,0.2,ok,ok2020mcmz,2020-06-21T08:58:32.215Z,9 km NW of Perry. Oklahoma,earthquake,,0.5,,36,reviewed,ok,us
2020-06-21T03:14:40.890Z,38.1703,-117.8893,6.8,1.1,ml,13,102.01,15,0.04,nn,nn00751107,2020-06-21T03:24:08.938Z,31 km SE of Mina. Nevada,earthquake,,0.9,,,automatic,nn,nn
2020-06-21T03:10:21.290Z,17.9836,-66.4768,4,2.62,md,23,177,0.1371,0.23,pr,pr2020173001,2020-06-21T04:01:22.992Z,2 km ESE of Potala Pastillo. Puerto Rico,earthquake,0.43,0.44,0.24,18,reviewed,pr,pr
2020-06-21T03:08:47.870Z,38.1403,-118.0515,0.4,1.4,ml,12,154.25,25,0.14,nn,nn00751105,2020-06-21T03:18:26.805Z,28 km S of Mina. Nevada,earthquake,,12.7,,,automatic,nn,nn
2020-06-21T03:05:26.290Z,38.1635,-117.8853,9,0.9,ml,12,101.07,28,0.05,nn,nn00751103,2020-06-21T03:18:19.481Z,31 km SE of Mina. Nevada,earthquake,,2.2,,,automatic,nn,nn
2020-06-21T03:04:46.770Z,38.2012,-117.7573,1,0.9,ml,10,106.35,57,0.13,nn,nn00751102,2020-06-21T03:10:01.342Z,37 km SE of Mina. Nevada,earthquake,,10.1,,,automatic,nn,nn
2020-06-21T02:59:57.081Z,38174,-117.8824,5.9,3.3,ml,29,46.77,15,0.1075,nn,nn00751099,2020-06-21T04:28:57.092Z,31 km SE of Mina. Nevada,earthquake,,0.5,0.42,13,reviewed,nn,nn
2020-06-21T02:54:54.210Z,38.1768,-117.9058,9.3,0.6,ml,10,110.4,33,0.08,nn,nn00751097,2020-06-21T03:01:21.485Z,29 km SE of Mina. Nevada,earthquake,,8.1,,,automatic,nn,nn
2020-06-21T02:53:44.760Z,38.1623,-117.8948,6.2,1.2,ml,13,104.83,0.01,0.09,nn,nn00751095,2020-06-21T02:57:01.791Z,31 km SE of Mina. Nevada,earthquake,,0.9,,,automatic,nn,nn
2020-06-21T02:50:47.034Z,66.0686,-18.6658,10,4.2,mb,,105,1732,0.87,us,us6000afqb,2020-06-21T04:12:00.040Z,12 km NNW of Dalvík. Iceland,earthquake,10.7,2,95,31,reviewed,us,us
2020-06-21T02:45:21.840Z,38.1693,-117.8197,6.3,1.4,ml,13,115.24,53,0.17,nn,nn00751091,2020-06-21T02:49:42.068Z,35 km SE of Mina. Nevada,earthquake,,0.9,,,automatic,nn,nn
2020-06-21T02:32:45.460Z,19.2233333587646,-155.408660888672,32.3600006103516,1.85000002,md,43,149,,0.129999995,hv,hv72008771,2020-06-21T02:38:19.790Z,7 km ENE of P?hala. Hawaii,earthquake,0.56,0.860000014,1,24,automatic,hv,hv
2020-06-21T02:32:29.660Z,38.1388,-117.9982,5.3,1.9,ml,22,106.68,34,0.14,nn,nn00751087,2020-06-21T02:36:03.187Z,29 km SSE of Mina. Nevada,earthquake,,0.6,,,automatic,nn,nn
2020-06-21T02:31:30.010Z,19.22483253479,-155.399673461914,30.9300003051758,2.18,ml,28,145,,0.119999997,hv,hv72008761,2020-06-21T02:37:04.020Z,8 km ENE of P?hala. Hawaii,earthquake,0.69,1,0.13,3,automatic,hv,hv
2020-06-21T02:31:03.509Z,59.8357,-136.7069,3.5,1.6,ml,,,,0.53,ak,ak0207y5ck3z,2020-06-21T02:37:20.741Z,48 km NW of Mosquito Lake. Alaska,earthquake,,0.3,,,automatic,ak,ak
2020-06-21T02:30:54.630Z,19.2124996185303,-155.389831542969,31.9099998474121,2.31,ml,44,171,,0.119999997,hv,hv72008766,2020-06-21T02:37:09.030Z,9 km E of P?hala. Hawaii,earthquake,0.59,0.819999993,0.14,3,automatic,hv,hv
2020-06-21T02:29:09.700Z,38.1358,-117.9957,5.8,1.8,ml,17,103.04,34,0.16,nn,nn00751084,2020-06-21T02:32:43.417Z,29 km SSE of Mina. Nevada,earthquake,,0.6,,,automatic,nn,nn
2020-06-21T02:25:02.540Z,19.2224998474121,-155.397994995117,32.0400009155273,1.99000001,md,35,163,,0.129999995,hv,hv72008746,2020-06-21T02:28:21.890Z,8 km ENE of P?hala. Hawaii,earthquake,0.61,0.709999979,1.58000004,10,automatic,hv,hv
2020-06-21T02:22:04.420Z,38.1565,-117.9697,0.8,0.8,ml,11,100.7,17,0.06,nn,nn00751081,2020-06-21T02:25:42.218Z,28 km SSE of Mina. Nevada,earthquake,,0.8,,,automatic,nn,nn
2020-06-21T02:12:42.590Z,38.1795,-117.8602,6.3,0.7,ml,12,108.24,23,0.05,nn,nn00751078,2020-06-21T02:23:42.398Z,31 km SE of Mina. Nevada,earthquake,,0.8,,,automatic,nn,nn
